<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200729,110500,106.35,106.35,106.35,106.35,1
20200729,110600,106.35,106.35,106.35,106.35,3
20200729,110700,106.42,106.42,106.42,106.42,9
20200729,110800,106.46,106.46,106.46,106.46,3
20200729,111100,106.46,106.47,106.46,106.47,10
20200729,111200,106.48,106.48,106.48,106.48,90
20200729,112300,106.42,106.42,106.42,106.42,10
20200729,112600,106.42,106.42,106.42,106.42,81
20200729,112900,106.36,106.36,106.36,106.36,25
20200729,130100,106.36,106.36,106.36,106.36,2
20200729,130400,106.31,106.31,106.31,106.31,1
20200729,131800,106.36,106.36,106.36,106.36,5
20200729,132300,106.36,106.36,106.36,106.36,1
20200729,135900,106.42,106.42,106.4,106.4,21
20200729,140000,106.42,106.42,106.42,106.42,36
20200729,140300,106.43,106.43,106.43,106.43,1
20200729,141300,106.43,106.43,106.43,106.43,50
20200729,141400,106.43,106.43,106.43,106.43,10
20200729,141700,106.44,106.44,106.44,106.44,2
20200729,141800,106.43,106.43,106.43,106.43,3
20200729,142100,106.41,106.41,106.41,106.41,1
20200729,142200,106.4,106.4,106.4,106.4,5
20200729,142500,106.37,106.37,106.37,106.37,5
20200729,142900,106.37,106.37,106.37,106.37,1
20200729,143300,106.37,106.37,106.37,106.37,1
20200729,143400,106.44,106.44,106.44,106.44,10
20200729,143900,106.46,106.46,106.46,106.46,1
20200729,145200,106.43,106.43,106.43,106.43,10
20200729,145300,106.42,106.42,106.42,106.42,33
20200729,145600,106.45,106.45,106.45,106.45,1
20200729,145700,106.42,106.42,106.42,106.42,10
20200729,150000,106.42,106.42,106.42,106.42,0
20200730,93100,106.5,106.5,106.5,106.5,2
20200730,93500,106.0,106.04,106.0,106.04,41
20200730,94100,106.35,106.37,106.35,106.37,81
20200730,94400,106.5,106.6,106.5,106.54,8
20200730,95300,106.54,106.54,106.54,106.54,1
20200730,95800,106.54,106.54,106.54,106.54,1
20200730,100200,106.54,106.54,106.53,106.53,16
20200730,100700,106.55,106.55,106.55,106.55,21
20200730,100900,106.56,106.56,106.55,106.55,11
20200730,101100,106.55,106.55,106.55,106.55,11
20200730,101400,106.55,106.55,106.55,106.55,7
20200730,101500,106.55,106.55,106.55,106.55,2
20200730,102300,106.55,106.55,106.55,106.55,1
20200730,102700,106.72,106.72,106.72,106.72,8
20200730,103200,106.8,106.8,106.8,106.8,2
20200730,103400,106.71,106.71,106.71,106.71,20
20200730,103600,107.0,107.0,107.0,107.0,1070
20200730,103700,107.0,107.0,107.0,107.0,628
20200730,103800,107.0,107.0,107.0,107.0,30
20200730,103900,107.0,107.0,107.0,107.0,110
20200730,104000,107.0,107.0,107.0,107.0,24
20200730,104100,107.0,107.0,107.0,107.0,3
