<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200804,94300,147.394,147.394,147.0,147.0,1280
20200804,94400,147.0,147.0,147.0,147.0,590
20200804,94500,147.0,147.0,145.304,145.304,70
20200804,94600,145.304,145.304,145.304,145.304,0
20200804,94700,145.304,145.85,145.304,145.85,50
20200804,94800,145.85,146.192,145.85,146.192,50
20200804,94900,146.192,146.484,146.192,146.484,10
20200804,95000,146.483,146.483,146.482,146.482,160
20200804,95100,146.482,146.482,146.482,146.482,0
20200804,95200,146.484,146.484,146.484,146.484,10
20200804,95300,146.484,146.484,146.484,146.484,30
20200804,95400,146.484,146.484,146.484,146.484,50
20200804,95500,146.484,146.8,146.484,146.496,90
20200804,95600,146.496,146.496,146.496,146.496,0
20200804,95700,146.496,146.498,146.496,146.498,10
20200804,95800,146.498,146.498,146.498,146.498,0
20200804,95900,146.498,146.498,146.203,146.203,70
20200804,100000,146.203,146.203,145.911,145.911,1520
20200804,100100,145.911,145.911,145.911,145.911,0
20200804,100200,145.911,145.911,145.9,145.9,260
20200804,100300,145.9,145.9,145.395,145.395,1250
20200804,100400,145.395,145.395,145.35,145.35,10
20200804,100500,145.35,145.641,145.35,145.641,20
20200804,100600,145.641,145.641,145.35,145.35,40
20200804,100700,145.639,145.639,145.639,145.639,10
20200804,100800,145.639,145.641,145.636,145.636,40
20200804,100900,145.636,145.66,145.501,145.501,20
20200804,101000,145.502,145.9,145.502,145.9,190
20200804,101100,145.9,145.9,145.799,145.799,10
20200804,101200,145.799,145.799,145.799,145.799,0
20200804,101300,145.8,145.9,145.8,145.9,1220
20200804,101400,145.9,145.9,145.9,145.9,390
20200804,101500,145.9,145.9,145.9,145.9,0
20200804,101600,145.9,145.9,145.9,145.9,0
20200804,101700,145.9,146.102,145.81,145.81,430
20200804,101800,145.81,145.81,145.81,145.81,0
20200804,101900,145.813,145.813,145.813,145.813,10
20200804,102000,145.813,145.813,145.813,145.813,10
20200804,102100,145.813,145.813,145.522,145.522,40
20200804,102200,145.522,145.79,145.504,145.504,440
20200804,102300,145.504,145.504,145.01,145.01,380
20200804,102400,145.01,145.29,145.0,145.0,260
20200804,102500,145.0,145.0,145.0,145.0,2220
20200804,102600,145.0,145.0,144.842,145.0,1822
20200804,102700,145.0,145.0,145.0,145.0,0
20200804,102800,145.0,145.0,145.0,145.0,1410
20200804,102900,145.0,145.0,145.0,145.0,390
20200804,103000,145.0,145.0,145.0,145.0,60
20200804,103100,145.0,145.0,145.0,145.0,20
20200804,103200,145.0,145.0,144.857,145.0,3960
20200804,103300,145.0,145.0,145.0,145.0,770
20200804,103400,145.0,145.491,145.0,145.2,70
20200804,103500,145.2,145.2,145.2,145.2,730
20200804,103600,145.199,145.2,145.199,145.2,260
20200804,103700,145.2,145.2,145.02,145.02,770
20200804,103800,145.02,145.199,145.0,145.0,3690
20200804,103900,145.0,145.0,145.0,145.0,0
20200804,104000,145.0,145.391,145.0,145.391,10
20200804,104100,145.391,145.391,145.391,145.391,0
20200804,104200,145.391,145.648,145.391,145.648,40
20200804,104300,145.648,145.648,145.648,145.648,0
20200804,104400,145.393,145.393,145.393,145.393,10
20200804,104500,145.393,145.393,145.103,145.103,10
20200804,104600,145.395,145.395,145.395,145.395,10
20200804,104700,145.395,145.395,145.111,145.112,40
20200804,104800,145.112,145.112,145.01,145.01,490
20200804,104900,145.01,145.3,145.01,145.3,10
20200804,105000,145.3,145.3,145.3,145.3,0
20200804,105100,145.3,145.3,145.3,145.3,10
20200804,105200,145.3,145.3,145.3,145.3,0
20200804,105300,145.3,145.301,145.3,145.301,10
20200804,105400,145.301,145.301,145.301,145.301,0
20200804,105500,145.301,145.301,145.3,145.3,10
20200804,105600,145.3,145.3,145.01,145.01,20
20200804,105700,145.01,145.299,145.01,145.299,30
20200804,105800,145.01,145.01,145.01,145.01,990
20200804,105900,145.01,145.311,145.01,145.311,30
20200804,110000,145.311,145.311,145.02,145.02,50
20200804,110100,145.02,145.02,145.02,145.02,20
20200804,110200,145.02,145.02,145.02,145.02,850
20200804,110300,145.02,145.29,145.0,145.198,430
20200804,110400,145.002,145.198,145.0,145.097,2180
20200804,110500,145.098,145.38,145.0,145.098,930
20200804,110600,145.098,145.098,145.002,145.002,10
20200804,110700,145.002,145.296,145.002,145.296,10
20200804,110800,145.296,145.296,145.296,145.296,0
20200804,110900,145.296,145.296,145.0,145.0,1340
20200804,111000,145.0,145.098,145.0,145.098,950
20200804,111100,145.098,145.289,145.002,145.002,190
20200804,111200,145.002,145.2,145.002,145.2,80
20200804,111300,145.28,145.28,145.003,145.003,20
20200804,111400,145.003,145.003,145.003,145.003,230
20200804,111500,145.003,145.266,145.002,145.198,140
20200804,111600,145.198,145.279,145.198,145.279,10
20200804,111700,145.279,145.279,145.279,145.279,0
20200804,111800,145.279,145.279,145.279,145.279,0
20200804,111900,145.279,145.279,145.279,145.279,0
20200804,112000,145.279,145.279,145.278,145.278,10
20200804,112100,145.278,145.278,145.278,145.278,0
20200804,112200,145.278,145.278,145.278,145.278,0
20200804,112300,145.278,145.278,145.278,145.278,0
20200804,112400,145.278,145.278,145.278,145.278,0
20200804,112500,145.278,145.278,145.272,145.272,30
20200804,112600,145.002,145.002,145.002,145.002,30
20200804,112700,145.002,145.002,145.002,145.002,0
20200804,112800,145.0,145.098,145.0,145.098,3900
20200804,112900,145.098,145.098,145.003,145.098,320
20200804,113000,145.003,145.099,145.0,145.099,480
20200804,130100,145.099,145.291,145.099,145.291,150
20200804,130200,145.488,145.488,145.487,145.487,20
20200804,130300,145.487,145.487,145.487,145.487,0
20200804,130400,145.487,145.487,145.024,145.024,12
20200804,130500,145.024,145.024,145.024,145.024,0
20200804,130600,145.024,145.041,145.024,145.041,10
20200804,130700,145.041,145.041,145.041,145.041,0
20200804,130800,145.041,145.041,145.041,145.041,32
20200804,130900,145.041,145.041,145.041,145.041,63
20200804,131000,145.041,145.041,145.041,145.041,0
20200804,131100,145.041,145.041,145.041,145.041,0
20200804,131200,145.02,145.02,145.02,145.02,19
20200804,131300,145.02,145.02,145.02,145.02,10
20200804,131400,145.02,145.098,145.0,145.098,1670
20200804,131500,145.098,145.098,145.0,145.098,1520
20200804,131600,145.297,145.4,145.297,145.399,1340
20200804,131700,145.399,145.399,145.399,145.399,0
20200804,131800,145.399,145.399,145.399,145.399,0
20200804,131900,145.399,145.399,145.399,145.399,0
20200804,132000,145.399,145.399,145.399,145.399,0
20200804,132100,145.399,145.399,145.399,145.399,0
20200804,132200,145.398,145.399,145.398,145.399,60
20200804,132300,145.399,145.399,145.399,145.399,0
20200804,132400,145.398,145.398,145.398,145.398,20
20200804,132500,145.398,145.398,145.398,145.398,0
20200804,132600,145.398,145.398,145.001,145.048,220
20200804,132700,145.048,145.048,145.048,145.048,0
20200804,132800,145.048,145.048,145.048,145.048,0
20200804,132900,145.048,145.1,145.048,145.1,10
20200804,133000,145.1,145.36,145.1,145.1,120
20200804,133100,145.1,145.38,145.1,145.38,60
20200804,133200,145.38,145.38,145.101,145.101,10
20200804,133300,145.101,145.101,145.101,145.101,0
20200804,133400,145.101,145.101,145.101,145.101,0
20200804,133500,145.101,145.101,145.101,145.101,0
20200804,133600,145.4,145.4,145.4,145.4,310
20200804,133700,145.4,145.4,145.4,145.4,390
20200804,133800,145.4,145.489,145.4,145.489,5919
20200804,133900,145.489,145.5,145.489,145.5,10
20200804,134000,145.5,145.5,145.5,145.5,0
20200804,134100,145.5,145.5,145.5,145.5,0
20200804,134200,145.5,145.5,145.5,145.5,1
20200804,134300,145.5,145.5,145.5,145.5,0
20200804,134400,145.5,145.5,145.5,145.5,0
20200804,134500,145.5,145.5,145.5,145.5,0
20200804,134600,145.5,145.5,145.5,145.5,0
20200804,134700,145.5,145.5,145.5,145.5,0
20200804,134800,145.5,145.5,145.5,145.5,0
20200804,134900,145.5,145.5,145.5,145.5,0
20200804,135000,145.5,145.5,145.5,145.5,0
20200804,135100,145.5,145.5,145.5,145.5,0
20200804,135200,145.5,145.5,145.5,145.5,0
20200804,135300,145.5,145.5,145.5,145.5,0
20200804,135400,145.5,145.5,145.5,145.5,0
20200804,135500,145.5,145.5,145.5,145.5,0
20200804,135600,145.5,145.5,145.5,145.5,0
20200804,135700,145.5,145.601,145.5,145.601,1
20200804,135800,145.601,145.601,145.601,145.601,0
20200804,135900,145.601,145.601,145.601,145.601,0
20200804,140000,145.601,145.601,145.601,145.601,0
20200804,140100,145.601,145.601,145.601,145.601,0
20200804,140200,145.601,146.0,145.601,146.0,230
20200804,140300,146.0,146.0,146.0,146.0,170
20200804,140400,146.0,146.0,146.0,146.0,0
20200804,140500,146.0,146.0,146.0,146.0,0
20200804,140600,146.0,146.0,145.612,145.612,5540
20200804,140700,145.612,145.612,145.612,145.612,10
20200804,140800,145.612,145.612,145.612,145.612,0
20200804,140900,145.612,145.612,145.612,145.612,10
20200804,141000,145.612,145.612,145.612,145.612,0
20200804,141100,145.612,145.612,145.612,145.612,0
20200804,141200,145.612,145.612,145.612,145.612,0
20200804,141300,145.601,145.601,145.5,145.5,3069
20200804,141400,145.5,145.5,145.5,145.5,0
20200804,141500,145.5,145.5,145.5,145.5,0
20200804,141600,145.5,145.5,144.78,144.999,11670
20200804,141700,144.999,144.999,144.5,144.5,682
20200804,141800,144.5,144.698,144.5,144.698,60
20200804,141900,144.698,144.698,144.6,144.6,50
20200804,142000,144.511,144.511,144.51,144.51,520
20200804,142100,144.51,144.51,144.51,144.51,0
20200804,142200,144.51,144.51,144.51,144.51,0
20200804,142300,144.822,144.822,144.822,144.822,10
20200804,142400,144.822,144.822,144.822,144.822,0
20200804,142500,144.822,145.0,144.822,145.0,10200
20200804,142600,145.0,145.0,145.0,145.0,0
20200804,142700,145.0,145.0,144.5,144.5,15048
20200804,142800,144.5,144.5,144.35,144.35,120
20200804,142900,144.35,144.35,144.349,144.349,10
20200804,143000,144.349,144.35,144.349,144.35,200
20200804,143100,144.35,144.35,144.35,144.35,0
20200804,143200,144.35,144.35,144.35,144.35,0
20200804,143300,144.35,144.35,144.02,144.02,1000
20200804,143400,144.02,144.098,144.02,144.098,90
20200804,143500,144.098,144.1,144.098,144.1,70
20200804,143600,144.1,144.1,144.0,144.01,14330
20200804,143700,144.01,144.012,144.01,144.01,150
20200804,143800,144.01,144.01,144.01,144.01,4660
20200804,143900,144.01,144.01,144.0,144.0,500
20200804,144000,144.0,144.0,144.0,144.0,0
20200804,144100,144.0,144.0,143.991,143.991,20
20200804,144200,143.991,143.991,143.991,143.991,0
20200804,144300,143.5,143.5,143.5,143.5,370
20200804,144400,143.5,143.5,143.5,143.5,10
20200804,144500,143.5,143.5,143.5,143.5,440
20200804,144600,143.5,143.5,143.158,143.158,170
20200804,144700,143.158,143.499,143.158,143.499,90
20200804,144800,143.499,143.5,143.143,143.143,930
20200804,144900,143.143,143.143,143.143,143.143,0
20200804,145000,143.143,143.201,143.143,143.201,190
20200804,145100,143.201,143.485,143.201,143.485,10
20200804,145200,143.485,143.485,143.144,143.144,40
20200804,145300,143.144,143.151,143.144,143.151,160
20200804,145400,143.151,143.153,143.022,143.022,440
20200804,145500,143.022,143.048,143.022,143.048,70
20200804,145600,143.048,143.296,143.048,143.053,90
20200804,145700,143.053,143.296,143.053,143.296,70
20200804,145800,143.296,143.296,143.296,143.296,0
20200804,145900,143.296,143.296,143.296,143.296,0
20200804,150000,143.296,143.296,143.025,143.025,1595
20200805,93100,143.97,143.97,143.385,143.501,820
